,coef,std_err_hc3,t,p_value,ci_lo,ci_hi
Intercept,0.5625834832424774,0.298688084469014,1.8835149860182654,0.05963061087315892,-0.022834404928047558,1.1480013714130024
C(industry_top15)[T.Crypto],0.06025941974358587,0.09537192122501542,0.63183606841067,0.5274940023599864,-0.1266661109938355,0.24718495048100725
C(industry_top15)[T.Data],-0.028556274341657965,0.025767859114110017,-1.1082129180852693,0.26776987314038203,-0.07906035016401577,0.02194780148069985
C(industry_top15)[T.Finance],-0.009321135878104875,0.030092044697971856,-0.3097541550153653,0.7567479169629865,-0.0683004597072992,0.04965818795108945
C(industry_top15)[T.Hardware],-0.02552478480843725,0.021096723720135185,-1.2098933060433372,0.22631983616876705,-0.06687360349169408,0.01582403387481958
C(industry_top15)[T.Healthcare],-0.0797394888992591,0.06439823029960202,-1.238224847612806,0.2156327006782538,-0.2059577009545951,0.046478723156076915
C(industry_top15)[T.Marketing],0.06409352716295298,0.043596672800263955,1.4701472164308127,0.1415218867700806,-0.021354381371341352,0.14954143569724732
C(industry_top15)[T.Media],0.0015711147212872385,0.053346049510908995,0.029451378981042515,0.9765045960542582,-0.10298522103758496,0.10612745048015944
C(industry_top15)[T.Other],-0.0014338143768620366,0.02091836914720263,-0.06854331553154457,0.9453531403237501,-0.04243306452069304,0.03956543576696897
C(industry_top15)[T.Real Estate],-0.10742378029373313,0.07156492855542884,-1.5010673868070825,0.1333381330682064,-0.24768846281855572,0.03284090223108947
C(industry_top15)[T.Retail],0.0048503008593451845,0.024388901770234856,0.19887327871666105,0.8423618724805741,-0.0429510682328003,0.052651669951490676
C(industry_top15)[T.Sales],-0.026427211253126276,0.03311768272468045,-0.7979788765061089,0.4248827483836902,-0.09133667664492429,0.038482254138671734
C(industry_top15)[T.Security],-0.05921426725338251,0.038565509711192776,-1.535420319783739,0.12468061560208267,-0.13480127733275005,0.016372742825985026
C(industry_top15)[T.Transportation],-0.0211398423683879,0.033860037555207174,-0.6243301512563415,0.5324107865304559,-0.08750429649176762,0.04522461175499183
C(industry_top15)[T.Travel],-0.016228099082460347,0.022745059230032328,-0.7134779873878254,0.4755500297438817,-0.06080759599955404,0.02835139783463335
C(stage_clean)[T.Post-IPO],-0.20713714621634974,0.056971295196276625,-3.635815992996544,0.0002771020843277934,-0.31879883295365175,-0.09547545947904776
C(stage_clean)[T.Series A],-0.19655083000545281,0.07418844433438813,-2.6493456193735923,0.008064780892709561,-0.3419575089699082,-0.051144151040997454
C(stage_clean)[T.Series B],-0.15029812136241294,0.07459034528272689,-2.014980903932321,0.04390664997679806,-0.29649251171096475,-0.004103731013861134
C(stage_clean)[T.Series C],-0.20570471028208068,0.0934047600411706,-2.202293653893131,0.027644572181622223,-0.388774675947381,-0.022634744616780333
C(stage_clean)[T.Series D],-0.2151256927736675,0.08179393447707789,-2.6300934677980896,0.008536139548744283,-0.3754388585025692,-0.0548125270447658
C(stage_clean)[T.Series F],-0.056516321166621274,3.6216589237121495,-0.015605092129629048,0.9875494432462284,-7.15483737593053,7.041804733597287
C(stage_clean)[T.Subsidiary],-0.10982666464286296,29.875078649510186,-0.003676196669850896,0.9970668260413443,-58.663904852984345,58.444251523698625
C(stage_clean)[T.Unknown],-0.2577871025686167,0.08084699511784228,-3.188579887141967,0.001429734980884897,-0.41624430125787315,-0.09932990387936025
log_employees_laid_off,0.003158432987193161,0.005002952248524051,0.6313138383691246,0.5278353404195018,-0.006647173236287661,0.012964039210673984
pct_laid_off_filled,-0.1728643159404425,0.09587507032606522,-1.8030163143822642,0.07138565255345306,-0.3607760007947752,0.015047368913890191
has_pct,-0.024759782487557242,0.015776142737206678,-1.5694446291464783,0.11654437189872423,-0.05568045406744548,0.006160889092330993
is_repeat,-0.31420853093217677,0.2825057651845141,-1.1122198894842252,0.266043618238774,-0.8679096561187538,0.23949259425440034
days_since_prior_layoff,-3.437269887318225e-05,2.9067675270632578e-05,-1.1825059470066874,0.23700500722367313,-9.134429551792767e-05,2.2598897771563175e-05
market_regime_30d,0.05744564510978607,0.1326839857817266,0.4329508551566104,0.6650504732536968,-0.20261018834762268,0.3175014785671948
log_funds_raised,0.0015542469978820348,0.0027001451038580608,0.5756161013944299,0.5648746953352117,-0.003737940158711928,0.006846434154475998
has_funds,-0.02338142999194536,0.02081930400547271,-1.123064920220155,0.2614099233868503,-0.06418651602586237,0.017423656041971637
